lemma,frequency,gloss_source,gloss,hdbscan_cluster,hdbscan_label,ward_12,ward_12_label,ward_25,ward_25_label,ward_50,ward_50_label,ward_100,ward_100_label
πᾶς,1080,lsj,all; the whole; every; all the,57,"just, exceedingly, altogether, greater",9,"desire, noble, strength, easy",20,"noble, strength, swift, little",35,"like, resembling, mighty, sort",69,"great, mighty, sort, exceedingly"
ἀνήρ,1038,lsj,"nar; ner-, nṛ; man; woman",101,"lord, queen, master, ruler",5,"day, funeral, black, cloud",12,"funeral, long, day, time",20,"funeral, dead, snow, kindle",40,"funeral, dead, mortal, alive"
ναῦς,995,lsj,ship; the ships; ships; naús,131,"sail, ship, sea, float",6,"wind, water, pour, sea",14,"wind, sea, stream, water",24,"sea, stream, wine, water",47,"sea, sail, strait, ship"
πολύς,869,lsj,"many; often; frequent; much, mighty",57,"just, exceedingly, altogether, greater",9,"desire, noble, strength, easy",20,"noble, strength, swift, little",35,"like, resembling, mighty, sort",69,"great, mighty, sort, exceedingly"
φημί,810,lsj,"say, affirm, assert; shall we say of; speak; think, deem, suppose",76,"oath, swear, affirm, think deem",11,"ask, inquire, pray, care",22,"ask, pray, inquire, care",45,"pray, oath, herald, command",88,"pray, oath, herald, command"
ἔρχομαι,770,lsj,"ibo; start, set out; was setting out; was",122,"come, ibo, pass, approach",8,"flee, pass, away, drive",17,"pass, lead, come, throw",30,"pass, lead, come, throw",58,"ibo, sink, fall, come"
θεός,767,lsj,"God, the Deity; against his will; bless you! good heavens! for heavenʼs sake!; weather",100,"divine, mortal, god, zeus",1,"son, chariot, lord, old",3,"divine, honour, zeus, wonder",3,"divine, honour, zeus, god",7,"divine, zeus, god, holy"
θυμός,755,lsj,"soul, spirit; the principle of life, feeling and thought; of strong feeling and passion; breath, life",78,"heart, affection, gentle, love",9,"desire, noble, strength, easy",19,"desire, wish, love, want",34,"love, heart, sweet, warm",66,"heart, love, affection, desire"
ἔχω,750,lsj,check; seĝh; sáhate; sigis,-1,(outlier),1,"son, chariot, lord, old",1,"troy, athens, trojan, phthia",1,"troy, trojan, athens, thebes",3,"phthia, lesbos, hang, club"
νῦν,742,lsj,now; present moment; present time; of our day,8,"day, light, morning, early",5,"day, funeral, black, cloud",12,"funeral, long, day, time",19,"long, day, time, morning",39,"day, morning, dawn, early"
μέγας,728,lsj,"big; full-grown; elder; vast, high",5,"high, lofty, height, feet",9,"desire, noble, strength, easy",20,"noble, strength, swift, little",38,"strength, force, high, courage",74,"high, courage, better, stout"
Ἀχαιός,714,lsj,Achaean; the Achaeans; Greeks; Achaia,-1,(outlier),1,"son, chariot, lord, old",1,"troy, athens, trojan, phthia",1,"troy, trojan, athens, thebes",1,"troy, trojan, athens, thebes"
Ὀδυσσεύς,712,lsj,Odysseus; games in honour of Odysseus; temple of Odysseus,143,"troy, athens, trojan, greece",1,"son, chariot, lord, old",1,"troy, athens, trojan, phthia",1,"troy, trojan, athens, thebes",1,"troy, trojan, athens, thebes"
Ζεύς,696,lsj,dyaús; divás; diví; dyávi,46,"ti, quarterly, shear lay, bit",1,"son, chariot, lord, old",1,"troy, athens, trojan, phthia",1,"troy, trojan, athens, thebes",3,"phthia, lesbos, hang, club"
φίλος,676,lsj,"beloved, dear; dear; friend; friends, kith and kin",78,"heart, affection, gentle, love",9,"desire, noble, strength, easy",19,"desire, wish, love, want",34,"love, heart, sweet, warm",66,"heart, love, affection, desire"
χείρ,635,lsj,"the hand; closed; open, flat; a single hand",60,"hand, left, right, sides",3,"meet, bind, round, stretch",7,"round, stretch, straight, turn",8,"round, straight, stretch, turn",19,"straight, right, hand, opposite"
Τρώς,633,lsj,Tros; Trojans; Trojan men,143,"troy, athens, trojan, greece",1,"son, chariot, lord, old",1,"troy, athens, trojan, phthia",1,"troy, trojan, athens, thebes",1,"troy, trojan, athens, thebes"
υἱός,613,lsj,Vasen mit Meister-signaturen; pitṛṣu; son; a son,125,"son, child, infant, father",1,"son, chariot, lord, old",2,"old, mother, son, wife",2,"old, son, mother, wife",5,"son, child, mother, father"
εἶπον,560,lsj,"said; avocam; vac; speak, say",-1,(outlier),11,"ask, inquire, pray, care",22,"ask, pray, inquire, care",46,"rejoice, care, heed, counsel",89,"care, rejoice, heed, attempt"
εἶμι,530,lsj,"ibo; shall go, shall come; come; go, depart",122,"come, ibo, pass, approach",8,"flee, pass, away, drive",17,"pass, lead, come, throw",30,"pass, lead, come, throw",58,"ibo, sink, fall, come"
μάλα,530,lsj,"very, exceedingly; very; every one; together",57,"just, exceedingly, altogether, greater",9,"desire, noble, strength, easy",20,"noble, strength, swift, little",35,"like, resembling, mighty, sort",69,"great, mighty, sort, exceedingly"
ἔνθα,501,lsj,there; thither; hither; in one place.. in another,59,"hither, wherefore, place, way",7,"come, return, near, arrive",16,"come, return, hither, arrive",28,"hither, wherefore, way, just",54,"hither, wherefore, way, just"
ἔπειτα,496,lsj,"thereupon, thereafter, then; thereafter, afterwards; hereafter; just then, at the time",67,"forthwith, soon, longer, second",7,"come, return, near, arrive",16,"come, return, hither, arrive",27,"return, time, fifth, backwards",53,"time, fifth, forthwith, fourth"
δίδωμι,483,lsj,"give freely; to be ready to give, offer; things offered; grant, assign",33,"gift, serve, receive, admit",11,"ask, inquire, pray, care",22,"ask, pray, inquire, care",44,"ask, inquire, pay, prize",87,"pay, debt, receive, price"
βάλλω,469,lsj,"throw; throw so as to hit, hit; striking; smote upon",91,"throw, send, fall, forth",8,"flee, pass, away, drive",17,"pass, lead, come, throw",30,"pass, lead, come, throw",59,"throw, send, forth, forward"
ἵππος,459,lsj,horse; mare; team of chariot-horses; the chariot,15,"chariot, car, driver, horse",1,"son, chariot, lord, old",4,"chariot, lord, guest, master",5,"chariot, lord, shield, master",11,"chariot, car, driver, travelling"
ἵστημι,454,lsj,make to stand; stand; sthā; á-sthā-t,103,"raise, lean, inclining, make stand",3,"meet, bind, round, stretch",7,"round, stretch, straight, turn",8,"round, straight, stretch, turn",22,"draw, raise, drag, stand"
ἔπος,443,lsj,"vácas; word; utterance; that which is uttered in words, speech, tale",42,"speech, word, speak, talk",12,"shout, speak, rouse, speech",25,"speak, speech, voice, address",50,"speak, speech, voice, address",100,"speech, voice, speak, clear"
εἶδον,439,lsj,see; to be seen; seem; know,20,"appear, bring light, seen, forth",11,"ask, inquire, pray, care",22,"ask, pray, inquire, care",43,"know, appear, perceive, look",82,"know, appear, perceive, bring light"
κακός,437,lsj,"bad; ugly; ill-born, mean; craven, base",111,"hateful, hated, ruthless, terrible",10,"wound, destroy, slay, kill",21,"wound, destroy, slay, cut",41,"destiny, dishonour, wretched, hateful",79,"destiny, wretched, hateful, wrath"
ἑταῖρος,434,lsj,"comrade, companion; comrades-in-arms; messmate; fellowslave",-1,(outlier),1,"son, chariot, lord, old",4,"chariot, lord, guest, master",5,"chariot, lord, shield, master",13,"shield, ranks, warrior, men"
αἱρέω,415,lsj,"take with the hand, grasp, seize; to take; having taken up; take away",86,"carry, snatch, away, evaporate",8,"flee, pass, away, drive",18,"flee, fear, away, hold",31,"hold, leave, stay, retire",61,"hold, seize, stay, remain"
βαίνω,405,lsj,"walk, step; on foot; on ground; he went to",-1,(outlier),8,"flee, pass, away, drive",17,"pass, lead, come, throw",30,"pass, lead, come, throw",57,"drive, pass, rush, path"
δῖος,398,lsj,heavenly; noble; noblest; excellent,81,"glorious, noble, famous, renowned",9,"desire, noble, strength, easy",20,"noble, strength, swift, little",37,"noble, wrought, glorious, splendid",72,"noble, wrought, glorious, splendid"
Ἀχιλλεύς,382,lsj,Achilles; ‘Achilles and the Tortoise’,-1,(outlier),4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",12,"spear, arrow, sword, girdle",28,"spear, sword, girdle, belt"
τίθημι,376,lsj,"l), Alc; set, put, place; set; set for oneself",93,"set, beneath, lowest, high",11,"ask, inquire, pray, care",22,"ask, pray, inquire, care",46,"rejoice, care, heed, counsel",92,"dwell, set, situated, devise"
φέρω,372,lsj,fero; beran; bhárati; náśati,46,"ti, quarterly, shear lay, bit",1,"son, chariot, lord, old",1,"troy, athens, trojan, phthia",1,"troy, trojan, athens, thebes",3,"phthia, lesbos, hang, club"
πατήρ,360,lsj,pitṛṣu; father; grandfather; by the fatherʼs side,125,"son, child, infant, father",1,"son, chariot, lord, old",2,"old, mother, son, wife",2,"old, son, mother, wife",5,"son, child, mother, father"
φρήν,340,lsj,midriff; heart; very heart; sincere,78,"heart, affection, gentle, love",9,"desire, noble, strength, easy",19,"desire, wish, love, want",34,"love, heart, sweet, warm",66,"heart, love, affection, desire"
γίγνομαι,317,lsj,come into a new state of being; come into being; to be born; born,105,"born, beget, bring forth, engender",7,"come, return, near, arrive",16,"come, return, hither, arrive",29,"come, arrive, home, house",56,"come, arrive, reach, born"
Ἀθήνη,310,lsj,Athene; casting vote,1,"memnonion, du, des, grecs",1,"son, chariot, lord, old",1,"troy, athens, trojan, phthia",1,"troy, trojan, athens, thebes",3,"phthia, lesbos, hang, club"
καλός,309,lsj,"beautiful; beauteous; fair, shapely; beauty",-1,(outlier),9,"desire, noble, strength, easy",19,"desire, wish, love, want",34,"love, heart, sweet, warm",67,"sweet, warm, glad, delight"
ἄγω,308,lsj,"lead, carry, fetch, bring; taking; take with one; carry off",-1,(outlier),8,"flee, pass, away, drive",17,"pass, lead, come, throw",30,"pass, lead, come, throw",60,"lead, end, shut, fulfil"
οἶδα,303,lsj,know; knew; Stadtrecht von Gortyn; Koische Forschungen,17,"know, perceive, discover, recognize",4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",14,"bronze, silver, hollow, gold",33,"lycia, stone, grind, goblet"
μῦθος,300,lsj,"word, speech; mere word; public speech; plea",42,"speech, word, speak, talk",12,"shout, speak, rouse, speech",25,"speak, speech, voice, address",50,"speak, speech, voice, address",100,"speech, voice, speak, clear"
μέγαρον,299,lsj,"large room, hall; the chief room; womenʼs apartment; bedchamber",137,"house, chamber, inner, room",2,"chamber, sleep, sit, bed",6,"chamber, house, ground, inner",7,"chamber, house, ground, mountain",18,"house, chamber, wall, court"
παῖς,296,lsj,child; son; daughter; adopted son,125,"son, child, infant, father",1,"son, chariot, lord, old",2,"old, mother, son, wife",2,"old, son, mother, wife",5,"son, child, mother, father"
λαός,294,lsj,men; foot and horse; foot; a land army,-1,(outlier),1,"son, chariot, lord, old",4,"chariot, lord, guest, master",5,"chariot, lord, shield, master",13,"shield, ranks, warrior, men"
γαῖα,294,lsj,"land, country; land; earth; the earth",116,"earth, ground, surface, deep",5,"day, funeral, black, cloud",12,"funeral, long, day, time",20,"funeral, dead, snow, kindle",42,"star, olympus, heaven, middle"
ἐθέλω,293,lsj,to be willing; wish; wish to; wish that,13,"desire, want, wish, need",9,"desire, noble, strength, easy",19,"desire, wish, love, want",33,"wish, need, want, desire",65,"wish, need, want, desire"
ἱκνέομαι,290,lsj,"come; came; arrive at; reach, attain to",123,"arrive, reach, come, attain",7,"come, return, near, arrive",16,"come, return, hither, arrive",29,"come, arrive, home, house",56,"come, arrive, reach, born"
πούς,287,lsj,foot; talons; arms; feelers,-1,(outlier),4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",12,"spear, arrow, sword, girdle",28,"spear, sword, girdle, belt"
τότε,281,lsj,"at that time, then; in that case; then, next; formerly",67,"forthwith, soon, longer, second",7,"come, return, near, arrive",16,"come, return, hither, arrive",27,"return, time, fifth, backwards",53,"time, fifth, forthwith, fourth"
πόλεμος,279,lsj,"war; battle, fight; single combat; War, Battle",27,"battle, quarrel, fight, strife",12,"shout, speak, rouse, speech",23,"rouse, stir, anger, fight",47,"fight, quarrel, anger, battle",93,"fight, battle, quarrel, anger"
δόρυ,272,lsj,"stem, tree; plank; beam; mast",-1,(outlier),2,"chamber, sleep, sit, bed",6,"chamber, house, ground, inner",7,"chamber, house, ground, mountain",18,"house, chamber, wall, court"
δῶμα,271,lsj,"house; chief room, hall; a single house; housetop",137,"house, chamber, inner, room",2,"chamber, sleep, sit, bed",6,"chamber, house, ground, inner",7,"chamber, house, ground, mountain",18,"house, chamber, wall, court"
ὅσος,266,lsj,"as great as, how great; as much as, how much; as far as, how far; as long as, how long",57,"just, exceedingly, altogether, greater",9,"desire, noble, strength, easy",20,"noble, strength, swift, little",35,"like, resembling, mighty, sort",69,"great, mighty, sort, exceedingly"
γυνή,262,lsj,"woman; man; mistress, lady; the lasses",101,"lord, queen, master, ruler",1,"son, chariot, lord, old",4,"chariot, lord, guest, master",4,"guest, slave, serve, banquet",10,"slave, mistress, care, queen"
ἅμα,256,lsj,"at once, at the same time; partly.. partly; no sooner.. than; as soon as",66,"time, long, partly, old",7,"come, return, near, arrive",16,"come, return, hither, arrive",27,"return, time, fifth, backwards",53,"time, fifth, forthwith, fourth"
μάχομαι,241,lsj,fight; fight with; against; with thy help,27,"battle, quarrel, fight, strife",12,"shout, speak, rouse, speech",23,"rouse, stir, anger, fight",47,"fight, quarrel, anger, battle",93,"fight, battle, quarrel, anger"
ἔγχος,240,lsj,"spear, lance; weapon; sword; weapons",140,"spear, axe, sword, wand",4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",12,"spear, arrow, sword, girdle",28,"spear, sword, girdle, belt"
