lemma,frequency,gloss_source,gloss,hdbscan_cluster,hdbscan_label,ward_12,ward_12_label,ward_25,ward_25_label,ward_50,ward_50_label,ward_100,ward_100_label,ward_150,ward_150_label,ward_200,ward_200_label,ward_250,ward_250_label
πᾶς,1080,lsj,all; the whole; every; all the,182,"greatest, nouns, quantifier, yea",11,"glad, delight, good, care",23,"mighty, courage, strength, equal",44,"mighty, glorious, famous, countless",88,"mighty, countless, immense, exceedingly",129,"mighty, countless, immense, exceedingly",170,"perfect, wholly, complete, entire",212,"perfect, wholly, complete, entire"
ἀνήρ,1038,lsj,"nar; ner-, nṛ; man; woman",55,"maiden, woman, girl, male",7,"born, son, old, ruler",14,"born, old, wife, marriage",27,"wife, marriage, bride, brother",54,"wife, marriage, bride, brother",78,"woman, peace, goddess, mistress",103,"woman, peace, goddess, mistress",127,"woman, peace, goddess, queen"
ναῦς,995,lsj,ship; the ships; ships; naús,223,"sea, ships, sailor, fisher",5,"pour, sea, wash, stream",8,"sea, sail, swim, ships",16,"sea, sail, swim, ship",32,"sea, sail, swim, ship",46,"sea, sail, swim, ship",61,"sea, sail, swim, ship",74,"sea, sail, swim, ship"
πολύς,869,lsj,"many; often; frequent; much, mighty",182,"greatest, nouns, quantifier, yea",11,"glad, delight, good, care",23,"mighty, courage, strength, equal",44,"mighty, glorious, famous, countless",88,"mighty, countless, immense, exceedingly",129,"mighty, countless, immense, exceedingly",171,"mighty, immense, countless, exceedingly",213,"mighty, immense, countless, exceedingly"
φημί,810,lsj,"say, affirm, assert; shall we say of; speak; think, deem, suppose",116,"promise, tell, boasts, deem",12,"wrath, reproach, slain, pray",24,"swear, oath, know, reproach",48,"swear, oath, reproach, counsel",96,"swear, oath, counsel, pray",143,"cheat, trial, attempt, promise",190,"cheat, trial, attempt, promise",237,"trial, attempt, promise, expect"
ἔρχομαι,770,lsj,"ibo; start, set out; was setting out; was",296,"come, ibo, came, depart",6,"leap, away, come, send",10,"away, cut, shut, break",20,"return, away, leave, retire",38,"return, away, leave, retire",57,"away, leave, retire, withdraw",73,"away, leave, retire, withdraw",89,"away, leave, retire, withdraw"
θεός,767,lsj,"God, the Deity; against his will; bless you! good heavens! for heavenʼs sake!; weather",66,"divine, god, holy, deity",11,"glad, delight, good, care",22,"glad, delight, care, rejoice",43,"glad, delight, care, awe",86,"glad, delight, heart, rejoice",126,"glad, delight, rejoice, awe",165,"glad, delight, sweet, joy",207,"glad, delight, sweet, joy"
θυμός,755,lsj,"soul, spirit; the principle of life, feeling and thought; of strong feeling and passion; breath, life",-1,(outlier),11,"glad, delight, good, care",22,"glad, delight, care, rejoice",43,"glad, delight, care, awe",86,"glad, delight, heart, rejoice",127,"heart, affection, love, gentle",168,"heart, affection, love, embrace",210,"heart, affection, love, embrace"
ἔχω,750,lsj,check; seĝh; sáhate; sigis,-1,(outlier),7,"born, son, old, ruler",15,"ruler, address, leader, divine",29,"troy, olympus, land, trojan",58,"abydos, son, nymph, ti",85,"abydos, irus, ti, manger",110,"abydos, ti, irus, cithara",137,"irus, abydos, luo, manger"
νῦν,742,lsj,now; present moment; present time; of our day,225,"time, far, moment, present",9,"fear, sleep, years, day",17,"day, years, time, early",36,"day, year, time, early",72,"haste, late, eager, wait",107,"haste, eager, late, wait",142,"late, wait, time, forthwith",178,"late, wait, time, forthwith"
