lemma,frequency,hdbscan_cluster,leiden_cluster
ἀλλά,1426,19,0
πᾶς,1080,19,0
ἀνήρ,1038,19,0
ναῦς,995,20,0
πολύς,869,19,0
φημί,810,-1,0
ἄλλος,786,19,0
ἔρχομαι,770,-1,0
θεός,767,19,0
θυμός,755,-1,0
ἔχω,750,-1,0
νῦν,742,19,0
μέγας,728,-1,0
Ἀχαιός,714,20,0
Ὀδυσσεύς,712,20,0
Ζεύς,696,19,0
φίλος,676,-1,0
χείρ,635,-1,0
Τρώς,633,20,1
υἱός,613,-1,2
εἶπον,560,-1,0
εἶμι,530,19,0
μάλα,530,19,0
ἔνθα,501,-1,0
ἔπειτα,496,-1,0
δίδωμι,483,0,0
βάλλω,469,-1,3
ἵππος,459,18,4
ἵστημι,454,-1,0
ἔπος,443,25,5
Ἕκτωρ,442,20,1
εἶδον,439,-1,0
κακός,437,-1,0
ἑταῖρος,434,-1,0
αἱρέω,415,-1,0
βαίνω,405,19,0
δῖος,398,20,0
Ἀχιλλεύς,382,20,1
τίθημι,376,0,0
φέρω,372,-1,0
πατήρ,360,19,0
φρήν,340,-1,0
ἔτι,320,19,0
γίγνομαι,317,-1,0
Ἀθήνη,310,-1,6
καλός,309,-1,7
ἄγω,308,-1,0
οἶδα,303,-1,8
μῦθος,300,-1,9
μέγαρον,299,-1,0
παῖς,296,-1,10
λαός,294,-1,0
γαῖα,294,-1,0
ἐθέλω,293,19,0
ἱκνέομαι,290,-1,0
πούς,287,-1,11
τότε,281,-1,0
πόλεμος,279,20,1
δόρυ,272,35,3
δῶμα,271,-1,0
ὅσος,266,-1,0
γυνή,262,-1,0
ἅμα,256,-1,0
Τηλέμαχος,244,-1,0
μάχομαι,241,20,1
ἔγχος,240,35,3
ὄρνυμι,239,-1,12
πρῶτος,237,-1,0
ἀεί,237,-1,0
πρόσφημι,235,31,5
ἔργον,233,-1,0
ἄναξ,232,-1,0
μνηστήρ,232,-1,0
ἕκαστος,228,-1,0
ποτέ,227,-1,0
πόλις,225,-1,13
ἄριστος,223,-1,0
Ἀργεῖος,218,20,0
γέρων,217,-1,0
Ἀτρείδης,209,5,0
εὖ,209,-1,0
μήτηρ,207,19,10
ξένος,207,-1,0
πείθω,204,-1,11
θεά,199,-1,6
Αἴας,198,-1,2
χαλκός,197,-1,3
ἀθάνατος,197,-1,14
κεῖμαι,195,-1,0
ἕπομαι,195,-1,0
ἄγε,193,-1,9
τεῦχος,192,-1,4
στῆθος,190,-1,3
αὐτίκα,190,-1,0
Μενέλαος,190,5,2
ἄνθρωπος,190,-1,0
κελεύω,190,-1,0
προσεῖπον,189,25,5
ἦμαρ,188,-1,0
Ἀγαμέμνων,184,5,0
μένος,183,-1,15
ἵημι,182,-1,16
μένω,182,-1,17
ἀκούω,182,-1,0
μέλας,180,-1,18
προσαυδάω,179,25,5
πίπτω,177,-1,19
ἀλλήλων,176,-1,10
τεύχω,170,-1,0
βοῦς,170,-1,20
ἐλαύνω,170,-1,21
οἷος,169,-1,0
ἀμείβω,168,-1,5
πῦρ,166,21,22
ὄλλυμι,166,-1,23
ἀγορεύω,165,-1,9
λείπω,165,-1,0
κρατερός,164,-1,2
φωνέω,163,-1,5
Ἄρης,163,-1,1
φεύγω,162,-1,23
εὐρύς,161,-1,0
πού,161,-1,0
ἐάω,158,-1,0
Ἀπόλλων,157,15,24
φαίνω,157,-1,25
ἐρύω,155,-1,22
κτείνω,155,-1,26
θοός,154,-1,0
δύο,154,-1,20
Δαναοί,154,20,1
εὔχομαι,154,-1,11
ὦμος,154,-1,3
ἐσθλός,154,-1,0
οἶος,154,-1,0
οἶκος,153,-1,0
χέω,152,-1,19
Πρίαμος,150,-1,13
ἤδη,150,-1,0
δαμάζω,149,-1,0
αἶψα,145,-1,0
Πάτροκλος,145,-1,1
μέσος,145,-1,3
ἄνωγα,144,-1,0
δόμος,144,-1,27
λύω,142,-1,28
θνήσκω,138,-1,26
νοέω,138,-1,8
θάνατος,137,-1,23
κεφαλή,137,-1,7
ταχύς,136,-1,11
τελέω,135,-1,29
ὧδε,135,-1,8
ὀτρύνω,135,-1,11
νύξ,134,-1,30
ἔοικα,134,-1,14
μάχη,134,-1,1
πόντος,133,1,18
λαμβάνω,131,-1,5
