lemma,freq,hdbscan,ward_40,ward_80,ward_150,x,y
ʼἀθήνη,9,10,10,0,16,6.348047,8.873727
ʼὀδυσσεύς,7,24,10,0,16,6.5454493,8.642079
ʽἑκάεργος,6,-1,5,15,48,6.3284106,8.678793
Αἰακίδης,25,24,5,15,76,6.6030936,8.390075
Αἰγύπτιος,8,-1,5,24,94,5.672344,7.697491
Αἰθίοψ,7,-1,5,24,94,5.7238574,7.7570667
Αἰνείας,77,39,5,15,76,7.1597347,8.113133
Αἰτωλός,14,15,5,24,94,5.784273,7.90821
Αἴας,196,24,5,15,76,6.5608077,8.392693
Αἴγισθος,18,-1,5,15,76,7.195322,8.319264
Αἴγυπτος,6,-1,5,24,94,5.7413564,7.479559
Αἴολος,5,36,5,15,76,7.0488977,8.320006
Αἶσα,11,105,2,2,25,3.9509356,10.576689
Αὐτομέδων,23,47,5,15,76,7.4132705,7.9577055
Αὐτόλυκος,15,98,5,15,76,7.4967465,8.351954
Βελλεροφόντης,7,-1,10,0,115,7.17755,8.485474
Βοιωτός,7,15,5,24,94,5.806406,7.8827066
Βορέας,25,13,32,65,65,3.6040947,10.070537
Βρισηίς,10,20,5,15,48,6.6729927,8.1501255
Γερήνιος,35,-1,5,15,76,6.9757185,8.26873
Γλαῦκος,21,-1,5,15,76,7.249275,8.504059
Δάρδανος,16,36,5,15,76,7.1472597,7.9218054
Δαμαστορίδης,5,47,5,15,76,7.2972608,7.925673
Δαναοί,154,15,5,24,94,5.7006783,7.8966823
Δαναός,5,15,5,24,94,5.71717,7.8914866
Δαρδανίδης,12,40,5,15,76,7.104745,7.8820996
Δευκαλίων,5,26,5,15,76,6.5732512,8.231422
Δηίφοβος,18,40,36,17,138,7.069036,7.840881
Δημήτηρ,6,27,5,15,48,6.133166,8.857559
Δημόδοκος,6,97,5,15,76,7.3954906,8.376873
Διιπετής,5,123,29,14,31,2.4644594,8.953892
Διομήδης,80,24,10,0,16,6.5582356,8.587531
Διοτρεφής,21,-1,0,19,55,2.3473635,8.682544
Διόνυσος,5,-1,5,15,48,6.2428846,8.605242
Δολίος,9,36,5,15,76,7.1389365,8.289365
Δουλίχιον,6,-1,5,24,94,6.086132,7.358809
Δόλων,7,36,5,15,76,7.12769,8.039148
Εἰλείθυια,5,10,6,46,10,6.2798257,8.97171
Εὐαίμων,5,-1,5,15,76,7.2726893,8.284748
Εὐπείθης,13,-1,5,15,76,7.4510775,8.363452
Εὐρυνόμη,13,-1,5,15,48,7.2155976,8.504841
Εὐρύαλος,8,97,5,15,76,7.409678,8.448438
Εὐρύκλεια,23,-1,10,0,16,7.1112876,8.618583
Εὐρύλοχος,10,98,5,15,76,7.4473333,8.392889
Εὐρύμαχος,27,98,5,15,76,7.4642825,8.39085
Εὐρύπυλος,21,97,5,15,76,7.4738584,8.45522
Εὔμαιος,36,-1,5,15,76,7.340361,8.482476
Εὔμηλος,9,97,5,15,76,7.3679843,8.458642
Εὔρυτος,6,97,5,15,76,7.44558,8.433726
Εὖρος,6,13,32,65,65,3.7233844,10.072448
Ζάκυνθος,5,12,5,24,94,6.083519,7.3209662
Ζέφυρος,19,13,32,65,65,3.6300924,10.068818
Ζεύς,650,28,5,15,48,6.0709205,8.663617
Θέτις,41,27,5,15,48,6.084431,8.916188
Θήβη,8,11,5,24,94,5.9659195,7.229015
Θεοκλύμενος,8,-1,5,15,76,7.2421546,8.465353
Θεσπρωτοί,9,14,5,24,94,5.922712,7.8763337
Θηβαῖος,6,-1,5,15,76,6.5327287,8.288901
Θράκιος,5,-1,5,24,94,5.9828258,8.075834
Θρασυμήδης,10,47,5,15,76,7.1909165,7.955648
Θρᾷξ,15,14,5,24,94,5.9530315,7.969194
Θόας,13,36,5,15,76,7.1588187,7.9500904
Θόων,5,36,5,15,76,7.225898,8.029796
Θῆβαι,9,11,5,24,94,5.9266367,7.231489
Κάλχας,6,-1,5,15,76,7.3739386,8.336921
Κίκονες,8,15,5,24,94,5.8788834,7.9129844
Κίρκη,40,-1,10,0,16,6.4420023,8.702287
Καδμεῖος,8,15,5,24,94,5.792994,7.899485
Καλυδών,6,12,5,24,94,6.020841,7.3029494
Καλυψώ,22,27,5,15,48,6.114414,8.865031
Καπανεύς,6,40,5,15,76,6.9268126,7.8760753
Κεβριόνης,13,39,5,15,76,7.274191,8.103347
Κεφαλλήν,5,14,5,24,94,5.915076,7.9143867
Κουρῆτες,5,15,5,24,94,5.916654,7.959134
Κρής,15,15,5,24,94,5.8068204,7.861622
Κρήτη,14,-1,5,24,94,5.8597145,7.27618
Κρονίδης,41,28,5,15,48,6.0437226,8.505632
Κρονίων,71,28,5,15,48,6.0577793,8.536571
Κρόνος,23,28,5,15,48,6.074685,8.654626
Κτήσιππος,5,-1,5,15,76,7.437219,8.200462
Κύκλωψ,25,-1,5,24,94,6.155239,8.215376
Κύπρις,5,-1,25,25,105,6.23856,8.991694
Κύπρος,5,9,5,24,94,5.7868595,7.263356
Λέσβος,6,11,5,24,94,5.8881145,7.216134
Λαέρτης,27,-1,5,15,76,7.3006897,8.18705
Λαερτιάδης,33,40,5,15,76,7.046122,7.910663
Λακεδαίμων,13,9,5,24,94,5.833312,7.1860557
Λαοδάμας,7,49,5,15,76,7.3252354,7.980444
Λαομέδων,10,47,5,15,76,7.3165154,7.982929
Λεοντεύς,5,40,5,15,76,6.9166174,8.057862
Λητώ,15,27,5,15,48,6.102457,8.832856
Λυκάων,19,40,5,15,76,7.0248485,8.036484
Λυκία,19,9,5,24,94,5.8354893,7.222867
Λυκομήδης,5,47,5,15,76,7.1533694,7.9623814
Λυρνησσός,5,12,5,24,94,6.0810223,7.3271046
Λωτοφάγοι,5,-1,5,24,94,5.9663563,7.859477
Λύκιοι,44,15,5,24,94,5.8926406,7.8520274
Λύκιος,5,15,5,24,94,5.870302,7.8788953
Λῆμνος,14,11,5,24,94,5.8882804,7.194266
Μέγης,7,39,5,15,76,7.1029572,8.098117
Μέδων,14,47,5,15,76,7.3466587,8.00259
Μέντωρ,16,-1,5,15,76,7.325829,8.268297
Μίνως,5,-1,5,15,76,6.9852815,7.9951878
Μαχάων,11,40,5,15,76,6.9738503,7.984984
Μελάνθιος,11,49,5,15,76,7.4471335,8.1221285
Μελάνιππος,7,-1,5,15,76,7.4558187,8.099099
Μελέαγρος,5,-1,5,15,76,7.459766,8.132
Μενέλαος,182,24,10,0,16,6.5788136,8.546832
Μενεσθεύς,7,40,5,15,76,6.9499273,8.222913
Μενοίτιος,19,36,5,15,76,7.2001567,8.256154
Μενοιτιάδης,20,40,5,15,76,7.05797,7.8881145
Μηκιστεύς,5,40,5,15,76,7.197586,7.916615
Μηριόνης,57,39,5,15,76,7.156141,8.09901
Μοῦσα,15,27,5,15,48,5.9338984,8.857557
