lemma,freq,hdbscan,ward_40,ward_80,ward_150,x,y,gloss,gloss_source
ʼἀθήνη,9,10,10,0,16,6.348047,8.873727,Athene; casting vote,lsj
ʼὀδυσσεύς,7,24,10,0,16,6.5454493,8.642079,Odysseus; games in honour of Odysseus; temple of Odysseus,lsj
ʽἑκάεργος,6,-1,5,15,48,6.3284106,8.678793,nine,lsj
Αἰακίδης,25,24,5,15,76,6.6030936,8.390075,,none
Αἰγύπτιος,8,-1,5,24,94,5.672344,7.697491,Egyptian; in Egyptian style,lsj
Αἰθίοψ,7,-1,5,24,94,5.7238574,7.7570667,"Burnt-face; Ethiopian, negro; a fish; Ethiopian",lsj
Αἰνείας,77,39,5,15,76,7.1597347,8.113133,Aeneas,lsj
Αἰτωλός,14,15,5,24,94,5.784273,7.90821,,none
Αἴας,196,24,5,15,76,6.5608077,8.392693,Ajax,lsj
Αἴγισθος,18,-1,5,15,76,7.195322,8.319264,,none
Αἴγυπτος,6,-1,5,24,94,5.7413564,7.479559,the river Nile; King Aegyptus; Egypt; to Egypt,lsj
Αἴολος,5,36,5,15,76,7.0488977,8.320006,,none
Αἶσα,11,105,2,2,25,3.9509356,10.576689,"who dispenses to every one his lot; destiny; decree, dispensation; destiny decreed",lsj
Αὐτομέδων,23,47,5,15,76,7.4132705,7.9577055,,none
Αὐτόλυκος,15,98,5,15,76,7.4967465,8.351954,,none
Βελλεροφόντης,7,-1,10,0,115,7.17755,8.485474,,none
Βοιωτός,7,15,5,24,94,5.806406,7.8827066,a Boeotian; Boeotia; cattle-pastures; Boeotian,lsj
Βορέας,25,13,32,65,65,3.6040947,10.070537,north wind; Boreas; the north; to the north,lsj
Βρισηίς,10,20,5,15,48,6.6729927,8.1501255,,none
Γερήνιος,35,-1,5,15,76,6.9757185,8.26873,from Gerena; Gerenon,lsj
Γλαῦκος,21,-1,5,15,76,7.249275,8.504059,,none
Δάρδανος,16,36,5,15,76,7.1472597,7.9218054,Dardanus; Trojan; Trojan woman; Troy,lsj
Δαμαστορίδης,5,47,5,15,76,7.2972608,7.925673,,none
Δαναοί,154,15,5,24,94,5.7006783,7.8966823,the Danaäns; the Greeks; the sons; descendants of Danaus,lsj
Δαναός,5,15,5,24,94,5.71717,7.8914866,,none
Δαρδανίδης,12,40,5,15,76,7.104745,7.8820996,,none
Δευκαλίων,5,26,5,15,76,6.5732512,8.231422,,none
Δηίφοβος,18,40,36,17,138,7.069036,7.840881,,none
Δημήτηρ,6,27,5,15,48,6.133166,8.857559,Aus Lydien; Griechische Dialekte; Demeter; h.Cer,lsj
Δημόδοκος,6,97,5,15,76,7.3954906,8.376873,,none
Διιπετής,5,123,29,14,31,2.4644594,8.953892,fallen from Zeus; from heaven; fed; swollen by rain,lsj
Διομήδης,80,24,10,0,16,6.5582356,8.587531,Jove-counselled,lsj
