verb,frequency,frame_hdbscan,frame_label,frame_ward_25,gloss,top_subjects,top_objects
φημί,814,27,"speak, address, hear, exchange",23,"say, affirm, assert; shall we say of; speak; think, deem, suppose",Ἀντίνοος(5),ἔπος(48); μῦθος(11); πόλις(3)
ἔρχομαι,772,39,"abandon, congeal, curdle, portion",23,"ibo; start, set out; was setting out; was",Ὀδυσσεύς(16); κνέφας(14),ὁδός(5)
ἔχω,753,40,"contain, hold, seize, catch",23,check; seĝh; sáhate; sigis,ἀνήρ(8); Ἕκτωρ(7),θυμός(24); ἵππος(23); ἔγχος(20); οὐρανός(19)
εἶπον,561,27,"speak, address, hear, exchange",23,"said; avocam; vac; speak, say",,μῦθος(70); ἔπος(23)
εἶμι,544,-1,(unassigned),23,"ibo; shall go, shall come; come; go, depart",Ὀδυσσεύς(7); ἀνήρ(4),Ὄλυμπος(4); ὁδός(3); πόλεμος(3); πεδίον(2)
εἶδον,538,39,"abandon, congeal, curdle, portion",23,see; to be seen; seem; know,,ἀνήρ(14); υἱός(12)
δίδωμι,484,32,"stretch, spread scatter, send, honour",23,"give freely; to be ready to give, offer; things offered; grant, assign",Ζεύς(35); θεός(34); Ἀθήνη(10),
βάλλω,469,37,"strike, strip, wound, smite",23,"throw; throw so as to hit, hit; striking; smote upon",ἀνήρ(6),υἱός(12); χιτών(10); χείρ(10)
ἵστημι,456,33,"work, strait, pour, stand",23,make to stand; stand; sthā; á-sthā-t,ἵππος(6); Ὀδυσσεύς(5); ναῦς(4),ἱστός(10); τρίπους(6); ἵππος(6); ἔγχος(4)
αἱρέω,415,40,"contain, hold, seize, catch",23,"take with the hand, grasp, seize; to take; having taken up; take away",δέος(10); ὕπνος(6),χείρ(19); θυμός(17); ἔγχος(16)
βαίνω,405,-1,(unassigned),23,"walk, step; on foot; on ground; he went to",Τηλέμαχος(8); Ὀδυσσεύς(8); υἱός(5),ναῦς(3); δίφρος(3); οἶκος(3); ἅρμα(2); ἑκατόμβη(2)
τίθημι,377,29,"taught, weave, send forward, set",23,"l), Alc; set, put, place; set; set for oneself",θεός(14); Ζεύς(12); Ἀθήνη(10),τόξον(10)
φέρω,374,33,"work, strait, pour, stand",23,fero; beran; bhárati; náśati,πούς(6); ἵππος(6),δῶρον(15); τεῦχος(12)
γίγνομαι,317,12,"sweat, born, stir, rouse",19,come into a new state of being; come into being; to be born; born,ἄχος(10); ἔργον(8); πᾶς(4),Δαναοί(5)
ἄγω,307,39,"abandon, congeal, curdle, portion",23,"lead, carry, fetch, bring; taking; take with one; carry off",δαίμων(6); ἀνήρ(5); ναύτης(4),γυνή(12)
οἶδα,300,25,"swear, accuse, oath, say",23,know; knew; Stadtrecht von Gortyn; Koische Forschungen,Ζεύς(10); θεός(7),ἔργον(11)
ἐθέλω,293,-1,(unassigned),23,to be willing; wish; wish to; wish that,θυμός(10); θεός(6),πᾶς(3); Τρώς(3)
ἱκνέομαι,292,35,"attain, come, reach, sink",12,"come; came; arrive at; reach, attain to",πένθος(5),δῶμα(24); γαῖα(20); Ἄργος(7); δόμος(6)
μάχομαι,247,14,"arm, stay, strip, angry",19,fight; fight with; against; with thy help,,Τρώς(17); ἀνήρ(11); μάχη(5); Ἕκτωρ(5)
ὄρνυμι,239,-1,(unassigned),19,"ārta; orior; stir, stir up; urge on, incite",νεῖκος(14); Ζεύς(7); βοή(6); ὀρυμαγδός(6),ἵμερος(9); Ἀχαιός(5); ἑταῖρος(3)
πρόσφημι,235,-1,(unassigned),23,"speak to, address",Ὀδυσσεύς(68); Ἀχιλλεύς(24); Ζεύς(22); Μενέλαος(11); Ἕκτωρ(10),Ἀπόλλων(4); κῆρυξ(3)
πείθω,204,23,"look gaze, courage, share, persuade",23,"persuade; obey; trust; prevail upon, persuade",πᾶς(8); ἀνήρ(4),θυμός(11); φρήν(6); ἔπος(6)
κεῖμαι,196,-1,(unassigned),8,"śáyate; cunae; to be laid; lie, lie outstretched",κτῆμα(5),ὄλεθρος(1); ὑπερῷον(1)
ἕπομαι,196,-1,(unassigned),23,sacate; sequor; sèkti; saśc(a)-),ναῦς(15); λαός(8),
κελεύω,190,3,"moan, melt, hope, bade",25,"urge, drive on; exhort, bid; order; bade",θυμός(17); καρδία(7); Τηλέμαχος(5),ἑταῖρος(10); Δαναοί(6)
προσεῖπον,190,27,"speak, address, hear, exchange",23,"speak to; address, accost; address; addressed",Πηνελόπεια(18); Ἀθήνη(15); θεά(12),συβώτης(3); Ὀδυσσεύς(3)
μένω,183,14,"arm, stay, strip, angry",23,"stay, wait; stand fast; stay at home, stay where one is; lodge, stay",Ἀχαιός(5),ἠώς(5); Τρώς(3)
ἀκούω,182,27,"speak, address, hear, exchange",23,"hear; hear of, hear tell of; hear of; from",Ὀδυσσεύς(3),μῦθος(24); ὄψ(10)
ἵημι,182,31,"heavy, aim, disembark, cheat",23,Ja-c-io; sēmen; véti; vyánti,Ἀθήνη(4); ἀνήρ(3); Ἥρα(3),ἔρος(24); οὖρος(5); ὄψ(4)
