work,book,line,sentence_id,verb_lemma,voice,mood,tense,sbj,obj,pnom,obliques,n_args
Iliad,1,1,2274106,ἀείδω,active,m,p,,μῆνις,,,1
Iliad,1,2,2274106a,τίθημι,active,i,a,ὅς,Ἀχαιός|ἄλγος,,,3
Iliad,1,3,2274106b,προιάπτω,active,i,a,,ψυχή|Ἅιδης,,,2
Iliad,1,4,2274106c,τεύχω,active,i,i,,αὐτός|κύων|οἰωνός,,,3
Iliad,1,5,2274106d,τελέω,medio-passive,i,i,βουλή,,,,1
Iliad,1,6,2274106e,διίστημι,active,i,a,Ἀτρείδης|Ἀχιλλεύς,,,ἐκ:g:ὅς;:a:πρῶτος,4
Iliad,1,6,2274106e,ἐρίζω,active,p,a,,,,,0
Iliad,1,8,2274107,συνίημι,active,i,a,τίς,σφεῖς,,,2
Iliad,1,8,2274107,μάχομαι,medio-passive,n,p,,,,:d:ἔρις,1
Iliad,1,9,2274109,χολόω,passive,p,a,,βασιλεύς,,,1
Iliad,1,10,2274109,ὄρνυμι,active,i,a,ὁ,νόσος,,ἀνά:a:στρατός,3
Iliad,1,10,2274109a,ὀλέκω,medio-passive,i,i,λαός,,,,1
Iliad,1,11,2274109a,ἀτιμάζω,active,i,a,Ἀτρείδης,Χρύσης,,,2
Iliad,1,12,2274110,ἔρχομαι,active,i,a,,,,ἐπί:a:ναῦς,1
Iliad,1,13,2274110,λύω,middle,p,f,,θυγάτηρ,,,1
Iliad,1,13,2274110,φέρω,active,p,p,,ἄποινα,,,1
Iliad,1,14,2274110,ἔχω,active,p,p,,στέμμα,,ἐν:d:χείρ;ἀνά:d:σκῆπτρον,3
Iliad,1,15,2274110a,λίσσομαι,medio-passive,i,i,,Ἀχαιός|Ἀτρείδης|κοσμήτωρ,,,3
Iliad,1,18,2274111,δίδωμι,active,o,a,θεός,σύ|πόλις,,,3
Iliad,1,18,2274111,ἔχω,active,p,p,,δῶμα,,,1
Iliad,1,19,2274111,ἐκπέρθω,active,n,a,,πόλις,,,1
Iliad,1,19,2274111,ἱκνέομαι,middle,n,a,,,,,0
Iliad,1,20,2274112,λύω,active,o,a,,παῖς,,,1
Iliad,1,20,2274112,δέχομαι,medio-passive,n,p,,ἄποινα,,,1
Iliad,1,21,2274112,ἅζομαι,medio-passive,p,p,,υἱός|Ἀπόλλων,,,2
Iliad,1,22,2274113,ἐπευφημέω,active,i,a,Ἀχαιός,ἱερεύς|ἄποινα,,,3
Iliad,1,23,2274113,αἰδέομαι,medio-passive,n,p,,ἱερεύς,,,1
Iliad,1,23,2274113,δέχομαι,middle,n,a,,ἄποινα,,,1
Iliad,1,24,2274114,ἁνδάνω,active,i,i,,Ἀγαμέμνων,,:d:θυμός,2
Iliad,1,25,2274114a,ἀφίημι,active,i,i,,,,,0
Iliad,1,25,2274114b,τέλλω,active,i,i,,μῦθος,,,1
Iliad,1,26,2274115,κιχάνω,active,s,a,ἐγώ,σύ,,παρά:d:ναῦς,3
Iliad,1,27,2274115,δηθύνω,active,p,p,,,,,0
Iliad,1,27,2274115,εἶμι,active,p,p,,,,:a:ὕστερος,1
Iliad,1,28,2274115,χραισμέω,active,s,p,σκῆπτρον|στέμμα,σύ,,,3
Iliad,1,29,2274116,λύω,active,i,f,ἐγώ,ὁ,,,2
Iliad,1,29,2274117,ἔπειμι,active,i,p,,,,,0
Iliad,1,31,2274117,ἐποίχομαι,medio-passive,p,p,,,,,0
Iliad,1,31,2274117,ἀντιάω,active,p,p,,,,,0
Iliad,1,32,2274118,εἶμι,active,m,p,,,,,0
Iliad,1,32,2274118a,ἐρεθίζω,active,m,p,,ἐγώ,,,1
Iliad,1,32,2274118a,νέομαι,medio-passive,s,p,,,,,0
Iliad,1,33,2274119,φημί,medio-passive,i,i,,,,,0
Iliad,1,33,2274119a,δείδω,active,i,a,,,,,0
Iliad,1,33,2274119b,πείθω,medio-passive,i,i,,μῦθος,,,1
Iliad,1,34,2274120,βαίνω,active,i,a,,,,παρά:a:θίς,1
Iliad,1,35,2274121,κίω,active,p,a,,,,,0
Iliad,1,35,2274121,ἀράομαι,medio-passive,i,i,γεραιός,Ἀπόλλων,,:a:πολύς,3
Iliad,1,36,2274121,τίκτω,active,i,a,Λητώ,ὅς,,,2
Iliad,1,37,2274122,κλύω,active,m,a,ὅς,ἐγώ,,,2
Iliad,1,37,2274122,ἀμφιβαίνω,active,i,r,,Χρύση|Κίλλα,,,2
Iliad,1,38,2274122,ἀνάσσω,active,i,p,,Τένεδος,,,1
Iliad,1,39,2274122a,ἐρέφω,active,i,a,,σύ|ναός,,,2
Iliad,1,40,2274122a,καίω,active,i,a,,σύ|μηρία,,,2
Iliad,1,41,2274122a,κραίνω,active,m,a,,ἐγώ|ἔλδωρ,,,2
Iliad,1,42,2274123,τίνω,active,o,a,Δαναοί,δάκρυον,,:d:βέλος,3
Iliad,1,43,2274124,φημί,medio-passive,i,i,,,,,0
Iliad,1,43,2274124,εὔχομαι,medio-passive,p,p,,,,,0
Iliad,1,43,2274124a,κλύω,active,i,i,Ἀπόλλων,ὁ,,,2
Iliad,1,44,2274124b,βαίνω,active,i,a,,,,κατά:g:κάρηνον,1
Iliad,1,44,2274124b,χώομαι,medio-passive,p,p,,κῆρ,,,1
Iliad,1,45,2274124b,ἔχω,active,p,p,,,,:d:ὦμος,1
Iliad,1,46,2274125,κλάζω,active,i,a,ὀιστός,,,ἐπί:g:ὦμος,2
Iliad,1,46,2274125,χώομαι,medio-passive,p,p,,,,,0
Iliad,1,47,2274125,κινέω,passive,p,a,αὐτός,,,,1
Iliad,1,47,2274126,εἶμι,active,i,i,ὁ,,,,1
Iliad,1,47,2274126,εἴκω1,active,p,r,,νύξ,,,1
Iliad,1,48,2274127,ἕζομαι,middle,i,i,,,,ἀπάνευθε:g:ναῦς,1
Iliad,1,48,2274127a,ἵημι,active,i,a,,ἰός,,,1
Iliad,1,49,2274128,γίγνομαι,middle,i,a,κλαγγή,,,,1
Iliad,1,50,2274129,ἐποίχομαι,medio-passive,i,i,,ὀρεύς|κύων,,:a:πρῶτος,3
Iliad,1,51,2274129a,ἐφίημι,active,p,p,,αὐτός|βέλος,,,2
Iliad,1,52,2274129a,βάλλω,active,i,i,,,,,0
Iliad,1,52,2274130,καίω,medio-passive,i,i,πυρή,,,,1
Iliad,1,53,2274131,οἴχομαι,medio-passive,i,i,κῆλον,,,ἀνά:a:στρατός,2
Iliad,1,54,2274131a,καλέω,middle,i,a,Ἀχιλλεύς,ἀγορά|λαός,,:d:δέκατος,4
Iliad,1,55,2274132,τίθημι,active,i,a,θεά|Ἥρα,,,ἐπί:d:φρήν,3
Iliad,1,56,2274133,κήδω,medio-passive,i,i,,Δαναοί,,,1
Iliad,1,56,2274133,θνήσκω,active,p,p,,,,,0
Iliad,1,56,2274133,ὁράω,medio-passive,i,i,,,,,0
Iliad,1,57,2274134,ἀγείρω,passive,i,a,,,,,0
Iliad,1,57,2274134,γίγνομαι,middle,i,a,,,ὁμηγερής,,1
Iliad,1,58,2274134,ἀνίστημι,medio-passive,p,p,,,,,0
Iliad,1,58,2274134,μετάφημι,active,i,a,Ἀχιλλεύς,ὁ,,,2
Iliad,1,59,2274135,παλιμπλάζομαι,passive,p,a,,,,,0
Iliad,1,59,2274135,οἴομαι,active,i,p,,,,,0
Iliad,1,60,2274135,ἀπονοστέω,active,n,f,ἐγώ,,,,1
