# NMF type-scene topics: 20 topics over 953 passage windows (~30 lines), content lemmas (noun/verb/adj).

topic  0: ἀχαιός ἀγαμέμνων ἀτρείδης ναῦς λαός κλισία δίδωμι μῦθος πᾶς πείθω ἄναξ πόλεμος
topic  1: δόρυ ἔγχος βάλλω πίπτω ἀσπίς αἰνείας χαλκός ὀξύς ὦμος χείρ αἱρέω ἀκοντίζω
topic  2: τηλέμαχος μνηστήρ πέπνυμαι ἀντίνοος αὐδάω ξένος μῦθος μέγαρον δῶμα πατήρ πᾶς ἀγορεύω
topic  3: κῦμα ἄνεμος πόντος μέγας γαῖα ποταμός πέτρα σχεδία φέρω ζεύς ναῦς δεινός
topic  4: ἥρα θεός ζεύς ὄλυμπος ἀθάνατος θεά ἶρις ἔπος ἥφαιστος πᾶς φημί θέτις
topic  5: ἵππος ἅρμα τυδεΐδης ἐλαύνω διομήδης δίφρος μῶνυξ ὄχος ἀντίλοχος ἡνία ἡνίοχος τυδεύς
topic  6: ἀχιλλεύς πάτροκλος πηλεύς δῖος πούς μυρμιδόνες πηλείδης ὠκύς ποταμός τεῦχος πῦρ αἰακίδης
topic  7: οἶνος χρύσεος δέπας χείρ τίθημι ἐδητύς καλός σῖτος πόσις2 ἔρος φέρω ἀργύρεος
topic  8: ἀνήρ πολύς πατήρ θεός φίλος γέρων κακός ἀμείβω γαῖα ἄνθρωπος μήτηρ παῖς
topic  9: ἀλκίνοος φαίαξ ξένος πομπή πᾶς ὀδυσσεύς λαοδάμας ἀρήτη ἱκνέομαι ἀοιδός πόλις δῶμα
topic 10: μενέλαος ἑλένη ἀλέξανδρος ἀρηίφιλος ἀτρείδης ξανθός ὅρκιον τρώς κτῆμα διοτρεφής ἀντίλοχος ἀγαθός
topic 11: ἀθήνη γλαυκῶπις θεά παλλάς κόρη αἰγίοχος ζεύς ὀδυσσεύς εἶδον τίθημι εὔχομαι δέμας
topic 12: ὀδυσσεύς συβώτης εὔμαιος ἔρχομαι ὗς πρόσφημι ἀπαμείβομαι πολύμητις μνηστήρ δῖος κύων ξένος
topic 13: ναῦς ἑταῖρος κίρκη θάλασσα ἥλιος μῆλον1 ἠώς ἔρχομαι νῆσος πᾶς ἕκαστος θοός
topic 14: ἔχω ναῦς ἕπομαι υἱός τίκτω ἄρχω νέμω ἡγεμονεύω μέλας ναίω ἡγέομαι ἄρης
topic 15: τόξον ὀιστός ἐντανύω νευρή ἀντίνοος τίθημι σίδηρος χείρ βιός μνηστήρ τανύω ἆθλος
topic 16: αἴας τελαμών τεῦκρος ὄρνυμι ἵστημι σάκος ἰδομενεύς λύκιοι δαναοί μάχομαι μέγας εἶμι
topic 17: ἱστός ὑφαίνω γάμος δόλος ἀναλύω ἐκτελέω φᾶρος μέγας θάνατος ταφήιος περίμετρος κτεατίζω
topic 18: γυνή μέγαρον πηνελόπεια ἀμφίπολος εὐρύκλεια δμωή περίφρων ὕπνος ὑπερῷον τροφός θάλαμος ὀδυσσεύς
topic 19: ἕκτωρ τρώς ἀχαιός τεῖχος ναῦς μάχομαι πύλη μάχη ἀπόλλων δαναοί πόλις κορυθαίολος
