lemma,gloss,best_category,best_score,score_kinship_family,score_marriage,score_friendship_affection,score_hostility_enmity,score_hospitality_xenia,score_erotic_pederasty,score_rank_kingship_rule,score_military_rank,score_servitude_slavery,score_messenger_herald_envoy,score_civic_community
ἀβᾰθής,not deep; in single rank; without depth,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀβασίλευτος,not ruled by a king; free from rule,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀβάσκᾰνος,free from envy; unprejudiced,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἅβρα,favourite slave,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγαθάγγελος,bringing good tidings,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγαθο-θελής,benevolent,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγᾰθός,"good:; well-born, gentle; aristocrats; brave, valiant; good, capable; good; my good friend; bona dea; good, serviceable; good for; to good purpose; for his own good end; it is good; morally good; good, blessing, benefit; blessing!, treasure!; a benefit; for no good end; the good; goods of fortune, treasures, wealth; fare well; good things, dainties; good qualities; good points; admirable.",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγαθο-φόρος,bearing good tidings; Cat. Cod.Astr.,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγαίομαι,to be indignant at; look on with jealousy; envy; to be wroth; indignant with; admire,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγαῖος,leading the procession; SIG2,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
