lemma,gloss,best_category,best_pos,best_neg,assigned,entry_len,pos_kinship_family,pos_marriage,pos_friendship_affection,pos_hostility_enmity,pos_hospitality_xenia,pos_erotic_pederasty,pos_rank_kingship_rule,pos_military_rank,pos_servitude_slavery,pos_messenger_herald_envoy,pos_civic_community
ἀ-,want; absence; un; ṇ; ne; spiritus asper; sm-; sems,hospitality_xenia,0.316,0.249,False,1450,0.286,0.156,0.228,0.203,0.316,0.195,0.144,0.218,0.176,0.171,0.228
ἃ ἃ,ha ha,hospitality_xenia,0.156,0.163,False,149,0.052,0.123,0.06,0.021,0.156,0.139,0.039,0.054,0.054,0.08,0.052
ἀάατος,"not to be injured, inviolable; unimpeachable; decisive.; invincible",rank_kingship_rule,0.302,0.347,False,305,0.145,0.171,0.176,0.283,0.121,0.166,0.302,0.245,0.173,0.258,0.156
ἀᾱγής,"unbroken, hard",hostility_enmity,0.198,0.33,False,148,0.18,0.151,0.196,0.198,0.08,0.118,0.196,0.175,0.186,0.085,0.12
ἀαδής,unpleasant,hostility_enmity,0.419,0.458,False,76,0.137,0.123,0.227,0.419,0.228,0.279,0.146,0.15,0.169,0.138,0.102
ἀάζω,breathe with the mouth wide open; aha!,hospitality_xenia,0.132,0.148,False,127,0.037,0.075,0.079,0.096,0.132,0.064,0.053,0.086,0.06,0.118,0.075
ἀακίδωτος,barbless,erotic_pederasty,0.18,0.206,False,87,0.151,0.107,0.131,0.156,0.158,0.18,0.116,0.162,0.133,0.112,0.094
ἄανθα,ear-ring,marriage,0.194,0.219,False,67,0.063,0.194,0.164,0.102,0.092,0.163,0.025,0.064,0.019,0.09,0.082
ἄαπτος,"not to be touched, resistless, invincible",hostility_enmity,0.396,0.327,False,212,0.105,0.147,0.241,0.396,0.09,0.172,0.22,0.255,0.196,0.104,0.1
ἄᾱς,to-morrow; the day after to-morrow,marriage,0.214,0.172,False,165,0.082,0.214,0.118,0.141,0.149,0.101,0.121,0.153,0.129,0.2,0.027
ἀασι-φρονία,folly,erotic_pederasty,0.212,0.245,False,45,0.125,0.167,0.058,0.211,0.156,0.212,0.182,0.096,0.154,0.114,0.136
ἀασμός,"breathing out, expiration",military_rank,0.128,0.14,False,78,0.058,0.056,0.055,0.05,0.05,0.033,0.006,0.128,0.05,0.042,0.009
