lemma,pos,work,book,line,sentence_id,word_id,form,row
μῆνις,n,Iliad,1,1,2274106,1,μῆνιν,0
ἀείδω,v,Iliad,1,1,2274106,2,ἄειδε,1
θεά,n,Iliad,1,1,2274106,3,θεὰ,2
Πηλείδης,n,Iliad,1,1,2274106,4,Πηληϊάδεω,3
Ἀχιλλεύς,n,Iliad,1,1,2274106,5,Ἀχιλῆος,4
οὐλόμενος,a,Iliad,1,2,2274106,6,οὐλομένην,5
μυρίος,a,Iliad,1,2,2274106a,9,μυρί',6
Ἀχαιός,a,Iliad,1,2,2274106a,10,Ἀχαιοῖς,7
ἄλγος,n,Iliad,1,2,2274106a,11,ἄλγε',8
τίθημι,v,Iliad,1,2,2274106a,12,ἔθηκε,9
πολύς,a,Iliad,1,3,2274106b,14,πολλὰς,10
ἴφθιμος,a,Iliad,1,3,2274106b,16,ἰφθίμους,11
ψυχή,n,Iliad,1,3,2274106b,17,ψυχὰς,12
Ἅιδης,n,Iliad,1,3,2274106b,18,Ἄϊδι,13
προιάπτω,v,Iliad,1,3,2274106b,19,προΐαψεν,14
ἥρως,n,Iliad,1,4,2274106b,20,ἡρώων,15
αὐτός,a,Iliad,1,4,2274106c,22,αὐτοὺς,16
ἑλώριον,n,Iliad,1,4,2274106c,24,ἑλώρια,17
τεύχω,v,Iliad,1,4,2274106c,25,τεῦχε,18
κύων,n,Iliad,1,4,2274106c,26,κύνεσσιν,19
οἰωνός,n,Iliad,1,5,2274106c,27,οἰωνοῖσί,20
πᾶς,a,Iliad,1,5,2274106c,29,πᾶσι,21
Ζεύς,n,Iliad,1,5,2274106d,31,Διὸς,22
τελέω,v,Iliad,1,5,2274106d,33,ἐτελείετο,23
βουλή,n,Iliad,1,5,2274106d,34,βουλή,24
πρῶτος,a,Iliad,1,6,2274106e,40,πρῶτα,25
διίστημι,v,Iliad,1,6,2274106e,41,διαστήτην,26
ἐρίζω,v,Iliad,1,6,2274106e,42,ἐρίσαντε,27
Ἀτρείδης,n,Iliad,1,7,2274106e,43,Ἀτρεΐδης,28
ἄναξ,n,Iliad,1,7,2274106e,45,ἄναξ,29
ἀνήρ,n,Iliad,1,7,2274106e,46,ἀνδρῶν,30
δῖος,a,Iliad,1,7,2274106e,48,δῖος,31
Ἀχιλλεύς,n,Iliad,1,7,2274106e,49,Ἀχιλλεύς,32
θεός,n,Iliad,1,8,2274107,5,θεῶν,33
ἔρις,n,Iliad,1,8,2274107,6,ἔριδι,34
συνίημι,v,Iliad,1,8,2274107,7,ξυνέηκε,35
μάχομαι,v,Iliad,1,8,2274107,8,μάχεσθαι,36
Λητώ,n,Iliad,1,9,2274108,1,Λητοῦς,37
Ζεύς,n,Iliad,1,9,2274108,3,Διὸς,38
υἱός,n,Iliad,1,9,2274108,4,υἱός,39
βασιλεύς,n,Iliad,1,9,2274109,3,βασιλῆϊ,40
χολόω,v,Iliad,1,9,2274109,4,χολωθεὶς,41
νόσος,n,Iliad,1,10,2274109,5,νοῦσον,42
στρατός,n,Iliad,1,10,2274109,7,στρατὸν,43
ὄρνυμι,v,Iliad,1,10,2274109,8,ὄρσε,44
κακός,a,Iliad,1,10,2274109,9,κακήν,45
ὀλέκω,v,Iliad,1,10,2274109a,11,ὀλέκοντο,46
λαός,n,Iliad,1,10,2274109a,13,λαοί,47
Χρύσης,n,Iliad,1,11,2274109a,17,Χρύσην,48
ἀτιμάζω,v,Iliad,1,11,2274109a,18,ἠτίμασεν,49
ἀρητήρ,n,Iliad,1,11,2274109a,19,ἀρητῆρα,50
Ἀτρείδης,n,Iliad,1,12,2274109a,20,Ἀτρεΐδης,51
ἔρχομαι,v,Iliad,1,12,2274110,3,ἦλθε,52
θοός,a,Iliad,1,12,2274110,4,θοὰς,53
ναῦς,n,Iliad,1,12,2274110,6,νῆας,54
Ἀχαιός,a,Iliad,1,12,2274110,7,Ἀχαιῶν,55
λύω,v,Iliad,1,13,2274110,8,λυσόμενός,56
θυγάτηρ,n,Iliad,1,13,2274110,10,θύγατρα,57
φέρω,v,Iliad,1,13,2274110,11,φέρων,58
ἀπερείσιος,a,Iliad,1,13,2274110,13,ἀπερείσι',59
ἄποινα,n,Iliad,1,13,2274110,14,ἄποινα,60
στέμμα,n,Iliad,1,14,2274110,16,στέμματ',61
ἔχω,v,Iliad,1,14,2274110,17,ἔχων,62
χείρ,n,Iliad,1,14,2274110,19,χερσὶν,63
ἑκηβόλος,a,Iliad,1,14,2274110,20,ἑκηβόλου,64
Ἀπόλλων,n,Iliad,1,14,2274110,21,Ἀπόλλωνος,65
χρύσεος,a,Iliad,1,15,2274110,22,χρυσέῳ,66
σκῆπτρον,n,Iliad,1,15,2274110,24,σκήπτρῳ,67
λίσσομαι,v,Iliad,1,15,2274110a,27,λίσσετο,68
πᾶς,a,Iliad,1,15,2274110a,28,πάντας,69
Ἀχαιός,a,Iliad,1,15,2274110a,29,Ἀχαιούς,70
Ἀτρείδης,n,Iliad,1,16,2274110a,31,Ἀτρεΐδα,71
κοσμήτωρ,n,Iliad,1,16,2274110a,36,κοσμήτορε,72
λαός,n,Iliad,1,16,2274110a,37,λαῶν,73
Ἀτρείδης,n,Iliad,1,17,2274111,1,Ἀτρεΐδαι,74
ἄλλος,a,Iliad,1,17,2274111,4,ἄλλοι,75
ἐυκνήμις,a,Iliad,1,17,2274111,5,ἐϋκνήμιδες,76
Ἀχαιός,a,Iliad,1,17,2274111,6,Ἀχαιοί,77
θεός,n,Iliad,1,18,2274111,10,θεοὶ,78
δίδωμι,v,Iliad,1,18,2274111,11,δοῖεν,79
Ὀλύμπιος,a,Iliad,1,18,2274111,12,Ὀλύμπια,80
δῶμα,n,Iliad,1,18,2274111,13,δώματ',81
ἔχω,v,Iliad,1,18,2274111,14,ἔχοντες,82
ἐκπέρθω,v,Iliad,1,19,2274111,15,ἐκπέρσαι,83
Πρίαμος,n,Iliad,1,19,2274111,16,Πριάμοιο,84
πόλις,n,Iliad,1,19,2274111,17,πόλιν,85
ἱκνέομαι,v,Iliad,1,19,2274111,22,ἱκέσθαι,86
παῖς,n,Iliad,1,20,2274112,1,παῖδα,87
λύω,v,Iliad,1,20,2274112,4,λύσαιτε,88
φίλος,a,Iliad,1,20,2274112,5,φίλην,89
ἄποινα,n,Iliad,1,20,2274112,9,ἄποινα,90
δέχομαι,v,Iliad,1,20,2274112,10,δέχεσθαι,91
ἅζομαι,v,Iliad,1,21,2274112,12,ἁζόμενοι,92
Ζεύς,n,Iliad,1,21,2274112,13,Διὸς,93
υἱός,n,Iliad,1,21,2274112,14,υἱὸν,94
ἑκηβόλος,a,Iliad,1,21,2274112,15,ἑκηβόλον,95
Ἀπόλλων,n,Iliad,1,21,2274112,16,Ἀπόλλωνα,96
ἄλλος,a,Iliad,1,22,2274113,2,ἄλλοι,97
πᾶς,a,Iliad,1,22,2274113,4,πάντες,98
ἐπευφημέω,v,Iliad,1,22,2274113,5,ἐπευφήμησαν,99
Ἀχαιός,a,Iliad,1,22,2274113,6,Ἀχαιοὶ,100
αἰδέομαι,v,Iliad,1,23,2274113,7,αἰδεῖσθαί,101
ἱερεύς,n,Iliad,1,23,2274113,9,ἱερῆα,102
ἀγλαός,a,Iliad,1,23,2274113,11,ἀγλαὰ,103
δέχομαι,v,Iliad,1,23,2274113,12,δέχθαι,104
ἄποινα,n,Iliad,1,23,2274113,13,ἄποινα,105
Ἀτρείδης,n,Iliad,1,24,2274114,3,Ἀτρεΐδῃ,106
Ἀγαμέμνων,n,Iliad,1,24,2274114,4,Ἀγαμέμνονι,107
ἁνδάνω,v,Iliad,1,24,2274114,5,ἥνδανε,108
θυμός,n,Iliad,1,24,2274114,6,θυμῷ,109
ἀφίημι,v,Iliad,1,25,2274114a,10,ἀφίει,110
κρατερός,a,Iliad,1,25,2274114b,12,κρατερὸν,111
μῦθος,n,Iliad,1,25,2274114b,15,μῦθον,112
τέλλω,v,Iliad,1,25,2274114b,16,ἔτελλε,113
γέρων,n,Iliad,1,26,2274115,3,γέρον,114
κοῖλος,a,Iliad,1,26,2274115,4,κοίλῃσιν,115
