lemma,sense_id,n_occ,field_hdbscan,field_label,field_ward_25,gloss,top_context_lemmas
Ἀχαιός,0,41,22,"greeks, olympus, men, cronos",25,Achaean; the Achaeans; Greeks; Achaia,ναῦς πᾶς Ἀτρείδης δίδωμι υἱός εὐρύς ἔχω Ἀπόλλων ἄριστος γέρας ἄποινα λαός
Ζεύς,0,31,22,"greeks, olympus, men, cronos",18,dyaús; divás; diví; dyávi,Ὄλυμπος φίλος Ἀπόλλων δῶμα ἔπος υἱός Ἀχαιός ἔρχομαι Ὀλύμπιος λίσσομαι ὀνίνημι ἔργον
πᾶς,0,31,-1,,21,all; the whole; every; all the,Ἀχαιός θεός ἀνήρ ἐθέλω Ἀτρείδης οἴομαι κρατέω πείθω λίσσομαι μέγας ἀνάσσω σημαίνω
ναῦς,0,30,8,"sea, earth, land, salt",13,ship; the ships; ships; naús,Ἀχαιός εἶμι Ἀπόλλων θοός μέλας ἔρχομαι κλισία λύω φέρω στέμμα ἔχω χείρ
θεός,0,30,22,"greeks, olympus, men, cronos",18,"God, the Deity; against his will; bless you! good heavens! for heavenʼs sake!; weather",πᾶς Ἀχαιός δῶμα εἶμι μάκαρ Ὄλυμπος δίδωμι χραισμέω στρατός κῆλον ἐπιπείθομαι ἑκατόμβη
Ἀτρείδης,0,21,36,"peleus, son, nether, world place",18,son of Atreus,Ἀχαιός Ἀγαμέμνων λαός πᾶς θυμός εὐρύς κρείων λίσσομαι κοσμήτωρ δίδωμι ἁνδάνω ἀνίστημι
Ἀχιλλεύς,0,21,-1,,24,Achilles; ‘Achilles and the Tortoise’,πούς ὠκύς πρόσφημι δῖος Ἀχαιός μῆνις Πηλείδης πρῶτος ἄναξ ἀπαμείβομαι ἀμείβω εἶδον
φίλος,0,20,-1,,24,"beloved, dear; dear; friend; friends, kith and kin",Ζεύς Ἀπόλλων χείρ πατήρ μήτηρ εὔχομαι Δαναοί παῖς δέχομαι ναῦς πολύς ἄγω
εἶμι,0,18,32,"sit, stay, leap, stand",4,"ibo; shall go, shall come; come; go, depart",ναῦς θεός Ζεύς Ὄλυμπος χραισμέω αἱρέω γέρας ἄγω Φθία πολύς φέρτατος κορωνίς
θυμός,0,18,27,"blood, heart, feeling, life",10,"soul, spirit; the principle of life, feeling and thought; of strong feeling and passion; breath, life",Ἀτρείδης Ἀχαιός θεά δαίς1 Ἀγαμέμνων ἁνδάνω παύω μέγας ἵημι λευκώλενος Ἥρα ἄμφω
δίδωμι,0,18,20,"destroy, accept, away, lay",7,"give freely; to be ready to give, offer; things offered; grant, assign",Ἀχαιός ἄγω γέρας κόρη αἱρέω υἱός Ἀτρείδης θεός πόλις ἄλγος ἑκηβόλος ἐθέλω
μέγας,0,18,-1,,21,"big; full-grown; elder; vast, high",πᾶς Ἀχαιός φρήν χαίρω Τρώς θυμός κολεόν ξίφος ὅρκος Πρίαμος Ὄλυμπος οἴομαι
χείρ,0,18,19,"thigh, knee, nail, sheath",12,"the hand; closed; open, flat; a single hand",ἔχω Ἀπόλλων φίλος ναῦς Ἀχαιός εὔχομαι τίθημι ἔρχομαι θοός λύω θυγάτηρ φέρω
ἀνήρ,0,17,16,"son, lord, man, old",24,"nar; ner-, nṛ; man; woman",ἄναξ πᾶς δῖος ἱλάσκομαι ἱερός ῥέζω Ἀγαμέμνων Ἀργεῖος πείθω Ἀχαιός εἷς ἀρχός
Ἀπόλλων,0,17,22,"greeks, olympus, men, cronos",18,Apollo,ναῦς Ἀχαιός ἑκηβόλος Φοῖβος λύω ἄποινα ἔχω χείρ φίλος Ζεύς ἔρχομαι θοός
ἔχω,0,16,10,"send, set, lead, having",7,check; seĝh; sáhate; sigis,Ἀχαιός χείρ Ἀπόλλων γέρας ἔρχομαι ναῦς ἄποινα ἑκηβόλος θοός λύω θυγάτηρ φέρω
ἔρχομαι,0,16,32,"sit, stay, leap, stand",4,"ibo; start, set out; was setting out; was",ναῦς Ἀχαιός ἔχω Ἀπόλλων Ζεύς Ὄλυμπος θοός λύω θυγάτηρ φέρω ἀπερείσιος ἄποινα
πείθω,0,16,31,"tolerable, worth, fulfil, accused",8,"persuade; obey; trust; prevail upon, persuade",οἴομαι πᾶς μῦθος ἀνήρ κρατέω Ἀχαιός ἔπος ἔρχομαι ἀμείνων χολόω μέγας Ἀργεῖος
ἔπος,0,15,-1,,10,"vácas; word; utterance; that which is uttered in words, speech, tale",Ζεύς πρόφρων ἔργον χείρ εἶπον πείθω ἔρχομαι μάχομαι Ὄλυμπος ὀνίνημι ὄμνυμι ἀρήγω
Ἀγαμέμνων,0,15,-1,,24,Agamemnon; Agamemnonʼs son,Ἀτρείδης κρείων ἄναξ Δαναοί Ἀχαιός ἀτιμάω εὐρύς ἀνήρ ἁνδάνω θυμός εὔχομαι ἄριστος
φημί,0,15,-1,,8,"say, affirm, assert; shall we say of; speak; think, deem, suppose",εὔχομαι δάκρυ χέω ἄγω Βρισηίς καλλιπάρηος εἶμι κλισία γέρας εἶδον ὅσος φέρτερος
εἶπον,0,14,34,"speak, attempt, ask, make",8,"said; avocam; vac; speak, say",μάντις Ζεύς Ἀπόλλων ἕζομαι εὔχομαι Δαναοί χείρ πολύς Ἀχαιός ἔπος πᾶς εἴρω2
ἄγω,0,14,10,"send, set, lead, having",7,"lead, carry, fetch, bring; taking; take with one; carry off",δίδωμι καλλιπάρηος ἱερός ἑκατόμβη αἱρέω Ὀδυσσεύς Βρισηίς ἄναξ Δαναοί πατήρ φίλος κόρη
πολύς,0,14,-1,,21,"many; often; frequent; much, mighty",Ἀχαιός Δαναοί ναῦς ἀράομαι Ἀπόλλων φίλος εὔχομαι χείρ εἶπον Φθία γέρας ἀφαιρέω
βαίνω,0,13,32,"sit, stay, leap, stand",4,"walk, step; on foot; on ground; he went to",θίς θάλασσα Ὄλυμπος Χρυσηίς δῶμα Ζεύς ἑκατόμβη ἕκαστος ἀκέων πολύφλοισβος κάρηνον χώομαι
γέρας,0,13,26,"strength, death, strife, fear",10,"gift of honour; the last honours; privilege, prerogative; gift, present",δίδωμι Ἀχαιός ἔχω αἱρέω πᾶς μεγάθυμος εἶμι ἄγω πολύς υἱός ἴσος ἀπαυράω
Ἥρα,0,13,22,"greeks, olympus, men, cronos",18,Hera; nine; servo; inhabitants of Heraea,λευκώλενος θεά ἵημι ἄμφω θυμός φιλέω κήδω βοῶπις πότνια φρήν τίθημι πατήρ
Ὄλυμπος,0,12,-1,,14,"Olympus; sky; to, towards Olympus; from O",Ζεύς ἔρχομαι θεός εἶμι βαίνω δῶμα ἔπος καλέω πᾶς δωδέκατος μέγας κάρηνον
οἶδα,0,12,11,"know, perceive, better, des",7,know; knew; Stadtrecht von Gortyn; Koische Forschungen,πᾶς ναῦς Ἀχαιός ἀγορεύω θεός ἕκαστος ἀνίστημι Κάλχας Θεστορίδης οἰωνοπόλος ἄριστος ἡγέομαι
υἱός,0,11,16,"son, lord, man, old",24,Vasen mit Meister-signaturen; pitṛṣu; son; a son,Ἀχαιός Ζεύς δίδωμι γέρας Ἀχιλλεύς Λητώ παῖς λύω φίλος ἄποινα δέχομαι ἅζομαι
φρήν,0,11,12,"speech, stature, growth, heart",10,midriff; heart; very heart; sincere,μέγας τίθημι θεά λευκώλενος Ἥρα μένος ἀμφιμέλας πίμπλημι κακός φίλος μαντεύομαι Κλυταιμνήστρη
ἐθέλω,0,11,13,"wish, owe, willing, urge",8,to be willing; wish; wish to; wish that,πᾶς βασιλεύς ἔχω δίδωμι Ὀλύμπιος Ἀχαιός Δαναοί θεοπροπέω ἀγορεύω ἑκηβόλος ἄλγος τεύχω
λαός,0,11,-1,,24,men; foot and horse; foot; a land army,Ἀτρείδης Ἀχαιός λίσσομαι πᾶς κοσμήτωρ εἶδον ὀλέκω Χρύσης ἀτιμάζω ἀρητήρ δέκατος ἀγορά
εἶδον,0,10,11,"know, perceive, better, des",7,see; to be seen; seem; know,Ἀχιλλεύς τοῖος ἀνήρ οἷος Πειρίθοος Δρύας ποιμήν λαός Καινεύς Ἐξάδιος ἀντίθεος Πολύφημος
πατήρ,0,10,16,"son, lord, man, old",23,pitṛṣu; father; grandfather; by the fatherʼs side,φίλος μήτηρ Ζεύς ἀεικής λοιγός ἄγω ἀθάνατος θεός παράφημι νοέω ἐπίηρα φέρω
ἅλς1,0,10,8,"sea, earth, land, salt",13,salt; rock-salt; brine; sugar,θίς ναῦς Ἀτρείδης ἀτρύγετος πολιός Ἀχαιός μέλας ἐρύω1 δῖος θοός προερύω λῦμα
ἄναξ,0,10,16,"son, lord, man, old",24,"lord, master; sons; brothers of kings; lord",ἀνήρ Ἀγαμέμνων ἄγω Ἀχιλλεύς Ἀπόλλων Ζεύς Χρύσης πέμπω παῖς Φοῖβος ἱερός ἑκατόμβη
μάχομαι,0,10,24,"arm, fight, anger, judgement",7,fight; fight with; against; with thy help,ἔπος Ἀχαιός ἔρχομαι Τρώς Πρίαμος θεός ἔρις συνίημι ἀναίδεια ἐπιέννυμι κερδαλεόφρων πρόφρων
μῦθος,0,10,12,"speech, stature, growth, heart",10,"word, speech; mere word; public speech; plea",κρατερός τέλλω πείθω ἀπιθέω Ἀθήνη ἀνίστημι ἀπειλέω τελέω Ἥρα πᾶς ἐπέλπομαι οἶδα
ἑκατόμβη,0,10,38,"shooting, far, fingered large, feeding",10,an offering of a hundred oxen; sacrifice; eye-salve,ἱερός Ἀπόλλων ἄγω Φοῖβος εὐχωλή ἐπιμέμφομαι αἴξ λοιγός Ἀγαμέμνων Δαναοί Χρύση βαίνω
πρόσφημι,0,9,4,"speak, address, exchange, accost",3,"speak to, address",ἀπαμείβομαι πούς ὠκύς Ἀχιλλεύς νεφεληγερέτα Ζεύς κρείων Ἀγαμέμνων εἶδον βαρύς στενάχω μέγας
οἴομαι,0,9,34,"speak, attempt, ask, make",8,"forebode, presage; expect; suspect; fear",πᾶς πείθω Ἀχαιός κρατέω Ἀτρείδης παλιμπλάζομαι ἀπονοστέω θάνατος φεύγω πόλεμος δαμάζω λοιμός
ἱκνέομαι,0,9,-1,,7,"come; came; arrive at; reach, attain to",Ἀχαιός ναῦς μέλας Ἀτρείδης ἐυκνήμις θεός δίδωμι Ὀλύμπιος δῶμα ἔχω ἐκπέρθω Πρίαμος
βασιλεύς,0,9,16,"son, lord, man, old",24,"king, chief; captain; judge; hereditary king",ἐθέλω Πηλείδης ἐρίζω ὁμοῖος μείρομαι τιμή σκηπτοῦχος Ζεύς κῦδος δίδωμι Ἀχαιός χολόω
Δαναοί,0,9,22,"greeks, olympus, men, cronos",25,the Danaäns; the Greeks; the sons; descendants of Danaus,εὔχομαι φίλος Ἀγαμέμνων πολύς Ἀπόλλων Ζεύς Κάλχας θεοπροπία ἀναφαίνω ζάω χθών δέρκομαι
αἱρέω,0,9,10,"send, set, lead, having",7,"take with the hand, grasp, seize; to take; having taken up; take away",γέρας δίδωμι ἄγω Αἴας εἶμι Ὀδυσσεύς καλλιπάρηος ἔχω ἀπαυράω ξανθός κόμη Πηλείων
τίθημι,0,9,-1,,4,"l), Alc; set, put, place; set; set for oneself",χείρ Ἀχαιός φίλος μυρίος ἄλγος φρήν θεά λευκώλενος Ἥρα ἑκατόμβη αἰχμητής θεός
