lemma,sense_id,n_occ,n_senses_lemma,silhouette,gloss,gloss_source,top_context_lemmas,example_citations
Ἀχαιός,0,41,1,,Achaean; the Achaeans; Greeks; Achaia,lsj,ναῦς πᾶς Ἀτρείδης δίδωμι υἱός εὐρύς ἔχω Ἀπόλλων ἄριστος γέρας ἄποινα λαός,Iliad 1.368; Iliad 1.276; Iliad 1.454; Iliad 1.347; Iliad 1.305
Ζεύς,0,31,1,,dyaús; divás; diví; dyávi,lsj,Ὄλυμπος φίλος Ἀπόλλων δῶμα ἔπος υἱός Ἀχαιός ἔρχομαι Ὀλύμπιος λίσσομαι ὀνίνημι ἔργον,Iliad 1.5; Iliad 1.570; Iliad 1.609; Iliad 1.533; Iliad 1.175
πᾶς,0,31,1,,all; the whole; every; all the,lsj,Ἀχαιός θεός ἀνήρ ἐθέλω Ἀτρείδης οἴομαι κρατέω πείθω λίσσομαι μέγας ἀνάσσω σημαίνω,Iliad 1.533; Iliad 1.22; Iliad 1.376; Iliad 1.424; Iliad 1.495
ναῦς,0,30,1,,ship; the ships; ships; naús,lsj,Ἀχαιός εἶμι Ἀπόλλων θοός μέλας ἔρχομαι κλισία λύω φέρω στέμμα ἔχω χείρ,Iliad 1.168; Iliad 1.26; Iliad 1.170; Iliad 1.421; Iliad 1.347
θεός,0,30,1,,"God, the Deity; against his will; bless you! good heavens! for heavenʼs sake!; weather",lsj,πᾶς Ἀχαιός δῶμα εἶμι μάκαρ Ὄλυμπος δίδωμι χραισμέω στρατός κῆλον ἐπιπείθομαι ἑκατόμβη,Iliad 1.597; Iliad 1.533; Iliad 1.424; Iliad 1.570; Iliad 1.290
Ἀτρείδης,0,21,1,,son of Atreus,lsj,Ἀχαιός Ἀγαμέμνων λαός πᾶς θυμός εὐρύς κρείων λίσσομαι κοσμήτωρ δίδωμι ἁνδάνω ἀνίστημι,Iliad 1.313; Iliad 1.355; Iliad 1.247; Iliad 1.232; Iliad 1.102
Ἀχιλλεύς,0,21,1,,Achilles; ‘Achilles and the Tortoise’,lsj,πούς ὠκύς πρόσφημι δῖος Ἀχαιός μῆνις Πηλείδης πρῶτος ἄναξ ἀπαμείβομαι ἀμείβω εἶδον,Iliad 1.292; Iliad 1.148; Iliad 1.84; Iliad 1.364; Iliad 1.215
φίλος,0,20,1,,"beloved, dear; dear; friend; friends, kith and kin",lsj,Ζεύς Ἀπόλλων χείρ πατήρ μήτηρ εὔχομαι Δαναοί παῖς δέχομαι ναῦς πολύς ἄγω,Iliad 1.447; Iliad 1.351; Iliad 1.441; Iliad 1.20; Iliad 1.587
εἶμι,0,18,1,,"ibo; shall go, shall come; come; go, depart",lsj,ναῦς θεός Ζεύς Ὄλυμπος χραισμέω αἱρέω γέρας ἄγω Φθία πολύς φέρτατος κορωνίς,Iliad 1.307; Iliad 1.335; Iliad 1.567; Iliad 1.170; Iliad 1.609
θυμός,0,18,1,,"soul, spirit; the principle of life, feeling and thought; of strong feeling and passion; breath, life",lsj,Ἀτρείδης Ἀχαιός θεά δαίς1 Ἀγαμέμνων ἁνδάνω παύω μέγας ἵημι λευκώλενος Ἥρα ἄμφω,Iliad 1.243; Iliad 1.217; Iliad 1.196; Iliad 1.209; Iliad 1.205
